fileid,filename,pretty_midi,instruments,rtcid
wilson_weeping_willow_joplin_wilson,Wilson/Weeping Willow (Joplin) - Wilson.mid,True,[1],-1
wilson_strenuous_life_the_wilson,"Wilson/Strenuous Life, The - Wilson.mid",False,[],-1
wilson_teasing_rag_wilson,Wilson/Teasing Rag - Wilson.mid,True,"[0, 0]",13468
wilson_belle_of_the_creoles_wilson,Wilson/Belle Of The Creoles - Wilson.mid,True,"[0, 0]",926
wilson_cracked_ice_rag_wilson,Wilson/Cracked Ice Rag - Wilson.mid,True,"[0, 0]",2711
wilson_blue_ribbon_rag_aufderheide_wilson,Wilson/Blue Ribbon Rag (Aufderheide) - Wilson.mid,True,"[0, 0]",1228
wilson_eubies_lucky_day_wilson,Wilson/Eubie's Lucky Day - Wilson.mid,True,"[0, 0]",3895
wilson_shy_and_sly_wilson,Wilson/Shy And Sly - Wilson.mid,True,"[0, 0]",12175
wilson_is_there_anything_else_i_can_do_for_you_wilson,Wilson/Is There Anything Else I Can Do For You - Wilson.mid,True,"[0, 0, 0]",-1
wilson_grand_sonata_in_ragtime_scott_joplins_victory_wilson,Wilson/Grand Sonata In Ragtime; Scott Joplin's Victory - Wilson.mid,True,"[0, 0]",11936
wilson_peacherine_rag_wilson,Wilson/Peacherine Rag - Wilson.mid,True,[1],-1
wilson_kismet_rag_wilson,Wilson/Kismet Rag - Wilson.mid,True,[1],-1
wilson_blue_moon_kortlander_roberts_wilson,Wilson/Blue Moon (Kortlander & Roberts) - Wilson.mid,True,"[0, 0]",1214
wilson_grand_sonata_in_ragtime_behemoth_two_step_wilson,Wilson/Grand Sonata In Ragtime; Behemoth Two-Step - Wilson.mid,True,"[0, 0]",-1
wilson_frisco_frazzle_wilson,Wilson/Frisco Frazzle - Wilson.mid,True,"[0, 0]",4483
wilson_shootin_the_agate_wilson,Wilson/Shootin' The Agate - Wilson.mid,True,"[0, 0]",12137
wilson_scott_joplins_victory_wilson,Wilson/Scott Joplin's Victory - Wilson.mid,True,"[0, 0]",11936
wilson_pan_am_rag_wilson,Wilson/Pan-Am Rag - Wilson.mid,True,"[0, 0]",9648
wilson_town_talk_olson_wilson,Wilson/Town Talk (Olson) - Wilson.mid,True,"[0, 0]",14219
wilson_ragtime_mocking_bird_wilson,Wilson/Ragtime Mocking Bird - Wilson.mid,True,"[0, 0, 0]",-1
wilson_doctor_brown_wilson,Wilson/Doctor Brown - Wilson.mid,True,"[0, 0]",3380
wilson_rag_time_dance_the_1902_wilson,"Wilson/Rag-Time Dance, The - 1902 - Wilson.mid",True,[1],-1
wilson_rag_time_skedaddle_a_wilson,"Wilson/Rag-Time Skedaddle, A - Wilson.mid",True,"[0, 0]",11020
wilson_sport_model_encore_wilson,Wilson/Sport Model Encore - Wilson.mid,True,"[0, 0]",12735
wilson_snoring_sampson_wilson,Wilson/Snoring Sampson - Wilson.mid,True,"[3, 0, 0]",-1
wilson_i_may_be_crazy_but_i_aint_no_fool_wilson,"Wilson/I May Be Crazy, But I Ain't No Fool - Wilson.mid",True,"[56, 0, 0]",-1
wilson_yellow_rose_rag_waldo_wilson,Wilson/Yellow Rose Rag (Waldo) - Wilson.mid,True,"[0, 0]",15436
wilson_im_certainly_living_a_rag_time_life_wilson,Wilson/I'm Certainly Living A Rag-Time Life - Wilson.mid,True,"[3, 0, 0]",-1
wilson_opera_house_rag_wilson,Wilson/Opera House Rag - Wilson.mid,True,"[0, 0]",9515
wilson_friday_night_wilson,Wilson/Friday Night - Wilson.mid,True,"[0, 0]",4464
wilson_cakewalkin_shoes_wilson,Wilson/Cakewalkin' Shoes - Wilson.mid,True,"[0, 0]",1717
wilson_toots_wilson,Wilson/Toots - Wilson.mid,True,"[0, 0]",14187
wilson_international_rag_the_wilson,"Wilson/International Rag, The - Wilson.mid",True,"[0, 0, 0]",-1
wilson_dumbell_wilson,Wilson/Dumbell - Wilson.mid,True,"[3, 0, 0]",-1
wilson_paragon_rag_wilson,Wilson/Paragon Rag - Wilson.mid,True,[1],-1
wilson_morning_reveries_wilson,Wilson/Morning Reveries - Wilson.mid,True,"[0, 0, 0]",-1
wilson_palm_beach_wilson,Wilson/Palm Beach - Wilson.mid,True,"[0, 0]",9639
wilson_african_suite_high_hattin_wilson,Wilson/African Suite; High Hattin' - Wilson.mid,True,"[0, 0]",119
wilson_les_copelands_38th_st_rag_wilson,Wilson/Les Copeland's 38th St Rag - Wilson.mid,True,"[0, 0]",7402
wilson_spooney_hollow_wilson,Wilson/Spooney Hollow - Wilson.mid,True,"[3, 0, 0]",-1
wilson_tabby_cat_walk_wilson,Wilson/Tabby Cat Walk - Wilson.mid,True,"[0, 0]",13339
wilson_rufenreddy_wilson,Wilson/Rufenreddy - Wilson.mid,True,"[0, 0]",11677
wilson_novelty_rag_aufderheide_wilson,Wilson/Novelty Rag (Aufderheide) - Wilson.mid,True,"[0, 0]",9144
wilson_that_mysterious_rag_wilson,Wilson/That Mysterious Rag - Wilson.mid,True,"[0, 116, 3, 0, 0]",-1
wilson_picture_of_her_face_a_wilson,"Wilson/Picture Of Her Face, A - Wilson.mid",True,[1],-1
wilson_epitaph_for_louis_chauvin_wilson,Wilson/Epitaph For Louis Chauvin - Wilson.mid,True,"[0, 0]",3858
