fileid,title,composer,year,year_alt,rtctype,ts_pm,silence_pm,silence_beats_pm,quant_pct_pm,ts_m21,silence_beats_m21,quant_m21,onset_pct_m21,true_ts,part0_avgpitch,part1_avgpitch,part0_numnotes,part1_numnotes,do_not_use,part_pitch_diff
misc_sequencers_m_r_midnight_mama_meddings,Midnight Mama,"Morton, Jelly Roll",1925,,R,4/4,1.5,4,0.193830922,['4/4@0.0'],4,"(2606, 1992)",0.76438987,,74.1251497,51.21410993,1670,1219,,22.91103977
wilson_midnight_trot_the_wilson,"Midnight Trot, The","Cobb, George L.",1916,,R,2/4,0,0,0.00465707,['2/4@0.0'],0,"(2716, 1488)",0.547864507,,74.21221662,55.24036145,1588,1660,,18.97185518
ex_mathew_minnesota_rag_the_hansen_ex_mathew,"Minnesota Rag, The","Christensen, Axel W.",1913,,R,2/4,1.015625,2,1,['2/4@0.0'],2,"(1592, 1592)",1,,72.78898007,51.93333333,853,810,,20.85564674
mezjuev_minor_rag_in_f_sharp_minor_janner_ex_mezjuev,Minor Rag (In F sharp minor),"Janner, Oskar",~1996,>1919,Y,2/4,0,0,1,['2/4@0.0'],0,"(1694, 1694)",1,,66.80787589,52.2971549,838,949,,14.510721
ex_mathew_minor_stomp_ford_ex_mathew,Minor Stomp,"Ford, Adrian",2001,,N,4/4,0,0,0.985388128,['4/4@0.0'],0,"(1109, 1093)",0.985572588,,67.48326055,50.13248639,687,551,,17.35077416
ex_mathew_missies_rag_ford_ex_mathew,Missie's Rag,"Ford, Adrian",1990's,>1919,R,4/4,0,0,1,['4/4@0.0'],0,"(2539, 2539)",1,,71.37807606,52.06473365,1341,1483,,19.31334241
misc_sequencers_s_z_excl_unks_missing_note_rag_shockley,Missing Note Rag,"Shockley, William M.",1996,,Y,2/4,0,0,0.994267288,['2/4@0.0'],0,"(2816, 2805)",0.99609375,,71.64536243,53.34455959,1283,1544,,18.30080285
decker_kermit_laura_morgan_msn_midibiz_btd_mississippi_rag_krell_unk_ex_midibiz,Mississippi Rag,"Krell, William H.",1897,,R,2/4,0,0,0.998570918,['2/4@0.0'],0,"(2784, 2780)",0.998563218,,72.15781487,52.55013369,1318,1496,,19.60768118
macdonald_mississippi_rag_krell_macdonald,Mississippi Rag,"Krell, William H.",1897,,R,2/4,0,0,0.997856377,['2/4@0.0'],0,"(2784, 2779)",0.998204023,,72.26479514,52.53102068,1318,1499,,19.73377446
misc_sequencers_f_l_mississippi_rag_krell_haley_ex_cowles,Mississippi Rag,"Krell, William H.",1897,,R,2/4,0,0,0.998214923,['2/4@0.0'],0,"(2801, 2796)",0.998214923,,72.33103976,52.54247492,1308,1495,,19.78856484
cowles_missouri_blues_cowles,Missouri Blues,"Brown, Harry",1919,,F,4/4,0,0,0.128741287,['4/4@0.0'],0,"(2440, 2404)",0.985245902,,75.54312865,53.23643725,1368,1235,,22.30669141
macdonald_missouri_mule_macdonald,Missouri Mule,"Blake, Charlotte",1904,,M,2/4,0,0,0.99181852,['2/4@0.0'],0,"(2717, 2701)",0.994111152,,71.12298682,53.23486506,1366,1371,,17.88812176
cowles_missouri_rag_polla_cowles,Missouri Rag,"Polla, William C. (as Powell, W. C.)",1907,,R,2/4,0,0,0.155217619,['2/4@0.0'],0,"(1947, 1947)",1,,70.08537616,54.27272727,1183,946,,15.81264889
macdonald_missouri_rag_polla_macdonald,Missouri Rag,"Polla, William C. (as Powell, W. C.)",1907,,R,2/4,0,0,1,['2/4@0.0'],0,"(1950, 1950)",1,,70.07529611,54.20631579,1182,950,,15.86898032
roache_missouri_romp_roache,Missouri Romp,"Marshall, Arthur",1907/ c1950,1902-1919,Y,2/4,1.333334,2,0.673789795,['2/4@0.0'],2,"(2323, 2049)",0.882049074,,69.29191717,48.90040241,1497,994,,20.39151475
roache_mister_joe_roache1,Mister Joe,"Morton, Jelly Roll",1928/ c1939,>1919,R,4/4,1.5,4,0.627986348,['4/4@0.0'],4,"(2435, 1811)",0.743737166,,75.39317774,53.68793706,1671,1144,,21.70524067
roache_mister_joe_roache,Mister Joe,"Morton, Jelly Roll",1928/ c1939,>1919,R,4/4,1.5,4,0.627986348,['4/4@0.0'],4,"(2435, 1811)",0.743737166,,75.39317774,53.68793706,1671,1144,,21.70524067
macdonald_mocking_bird_rag_macdonald,Mocking Bird Rag,"Straight, Charles",1912,,M,2/4,0.7826085,1.5,0.985335856,['2/4@0.0'],1.5,"(2121, 2090)",0.985384253,,73.70201578,57.84334975,1141,1015,,15.85866602
